sched_name,throughput_mbps
x7ti_lavd_R1,16.195
x7ti_lavd_R1,16.142
x7ti_lavd_R1,16.190
x7ti_lavd_R1,16.265
x7ti_lavd_R1,16.315
x7ti_lavd_R1,16.247
x7ti_lavd_R1,16.152
x7ti_lavd_R1,16.312
x7ti_lavd_R1,16.290
x7ti_lavd_R1,16.240
x7ti_lavd_R1,16.297
x7ti_lavd_R1,16.162
x7ti_lavd_R1,16.256
x7ti_lavd_R1,16.270
x7ti_lavd_R1,16.296
x7ti_lavd_R2,14.122
x7ti_lavd_R2,13.610
x7ti_lavd_R2,12.931
x7ti_lavd_R2,12.936
x7ti_lavd_R2,12.929
x7ti_lavd_R2,13.553
x7ti_lavd_R2,15.441
x7ti_lavd_R2,14.414
x7ti_lavd_R2,13.456
x7ti_lavd_R2,12.990
x7ti_lavd_R2,13.946
x7ti_lavd_R2,14.604
x7ti_lavd_R2,13.311
x7ti_lavd_R2,13.326
x7ti_lavd_R2,13.845
x7ti_lavd_R3,11.767
x7ti_lavd_R3,11.685
x7ti_lavd_R3,11.834
x7ti_lavd_R3,12.066
x7ti_lavd_R3,11.764
x7ti_lavd_R3,12.124
x7ti_lavd_R3,11.899
x7ti_lavd_R3,11.790
x7ti_lavd_R3,11.725
x7ti_lavd_R3,11.997
x7ti_lavd_R3,11.832
x7ti_lavd_R3,11.811
x7ti_lavd_R3,12.304
x7ti_lavd_R3,11.938
x7ti_lavd_R3,12.434
x7ti_lavd_R4,11.593
x7ti_lavd_R4,11.479
x7ti_lavd_R4,11.474
x7ti_lavd_R4,11.455
x7ti_lavd_R4,11.499
x7ti_lavd_R4,11.448
x7ti_lavd_R4,11.513
x7ti_lavd_R4,11.455
x7ti_lavd_R4,11.316
x7ti_lavd_R4,11.539
x7ti_lavd_R4,11.551
x7ti_lavd_R4,11.431
x7ti_lavd_R4,11.536
x7ti_lavd_R4,11.416
x7ti_lavd_R4,11.513
x7ti_lavd_R5,9.453
x7ti_lavd_R5,9.929
x7ti_lavd_R5,9.646
x7ti_lavd_R5,9.582
x7ti_lavd_R5,9.538
x7ti_lavd_R5,9.796
x7ti_lavd_R5,9.796
x7ti_lavd_R5,9.751
x7ti_lavd_R5,9.745
x7ti_lavd_R5,9.463
x7ti_lavd_R5,9.428
x7ti_lavd_R5,9.628
x7ti_lavd_R5,9.542
x7ti_lavd_R5,9.626
x7ti_lavd_R5,9.613
x7ti_lavd_R6,9.202
x7ti_lavd_R6,9.507
x7ti_lavd_R6,10.134
x7ti_lavd_R6,9.204
x7ti_lavd_R6,8.848
x7ti_lavd_R6,9.312
x7ti_lavd_R6,9.542
x7ti_lavd_R6,9.420
x7ti_lavd_R6,9.147
x7ti_lavd_R6,8.516
x7ti_lavd_R6,9.772
x7ti_lavd_R6,9.603
x7ti_lavd_R6,10.156
x7ti_lavd_R6,9.212
x7ti_lavd_R6,8.999
x7ti_lavd_R7,9.034
x7ti_lavd_R7,9.276
x7ti_lavd_R7,8.516
x7ti_lavd_R7,8.716
x7ti_lavd_R7,9.091
x7ti_lavd_R7,9.258
x7ti_lavd_R7,8.619
x7ti_lavd_R7,9.079
x7ti_lavd_R7,9.322
x7ti_lavd_R7,8.396
x7ti_lavd_R7,9.261
x7ti_lavd_R7,9.292
x7ti_lavd_R7,8.705
x7ti_lavd_R7,9.260
x7ti_lavd_R7,8.573
